"time","level"
"1",1916-01-01,2.35
"2",1916-01-02,2.4
"3",1916-01-04,2.4
"4",1916-01-06,2.4
"5",1916-01-07,2.4
"6",1916-01-09,2.35
"7",1916-01-11,2.3
"8",1916-01-12,2.3
"9",1916-01-14,2.3
"10",1916-01-16,2.25
"11",1916-01-18,2.1
"12",1916-01-19,2.1
"13",1916-01-21,2.1
"14",1916-01-23,2.2
"15",1916-01-24,2.2
"16",1916-01-26,2.2
"17",1916-01-28,2.1
"18",1916-01-30,2.1
"19",1916-01-31,2
"20",1916-02-02,2
"21",1916-02-04,2
"22",1916-02-05,2
"23",1916-02-07,1.9
"24",1916-02-09,1.9
"25",1916-02-11,1.9
"26",1916-02-12,1.9
"27",1916-02-14,1.85
"28",1916-02-16,1.8
"29",1916-02-17,1.75
"30",1916-02-19,1.7
"31",1916-02-21,1.7
"32",1916-02-23,1.7
"33",1916-02-24,1.65
"34",1916-02-26,1.6
"35",1916-02-28,1.6
"36",1916-02-29,1.55
"37",1916-03-02,1.5
"38",1916-03-04,1.6
"39",1916-03-05,1.7
"40",1916-03-07,1.85
"41",1916-03-09,1.9
"42",1916-03-11,1.95
"43",1916-03-12,1.95
"44",1916-03-14,1.95
"45",1916-03-16,2
"46",1916-03-17,2
"47",1916-03-19,2
"48",1916-03-21,2
"49",1916-03-23,2.05
"50",1916-03-24,2.05
"51",1916-03-26,2.1
"52",1916-03-28,2.1
"53",1916-03-29,2.1
"54",1916-03-31,2.1
"55",1916-04-02,2.1
"56",1916-04-04,2.2
"57",1916-04-05,2.2
"58",1916-04-07,2.2
"59",1916-04-09,2.25
"60",1916-04-10,2.25
"61",1916-04-12,2.3
"62",1916-04-14,2.3
"63",1916-04-16,2.3
"64",1916-04-17,2.3
"65",1916-04-19,2.35
"66",1916-04-21,2.35
"67",1916-04-22,2.35
"68",1916-04-24,2.35
"69",1916-04-26,2.35
"70",1916-04-28,2.3
"71",1916-04-29,2.3
"72",1916-05-01,2.3
"73",1916-05-03,2.3
"74",1916-05-04,2.3
"75",1916-05-06,2.3
"76",1916-05-08,2.3
"77",1916-05-09,2.35
"78",1916-05-11,2.35
"79",1916-05-13,2.3
"80",1916-05-15,2.3
"81",1916-05-16,2.45
"82",1916-05-18,2.45
"83",1916-05-20,2.45
"84",1916-05-21,2.45
"85",1916-05-23,2.4
"86",1916-05-25,2.4
"87",1916-05-27,2.4
"88",1916-05-28,2.3
"89",1916-05-30,2.3
"90",1916-06-01,2.3
"91",1916-06-02,2.25
"92",1916-06-04,2.25
"93",1916-06-06,2.2
"94",1916-06-08,2.2
"95",1916-06-09,2.2
"96",1916-06-11,2.2
"97",1916-06-13,2.2
"98",1916-06-14,2.45
"99",1916-06-16,2.5
"100",1916-06-18,2.5
"101",1916-06-20,2.5
"102",1916-06-21,2.5
"103",1916-06-23,2.45
"104",1916-06-25,2.45
"105",1916-06-26,2.4
"106",1916-06-28,2.4
"107",1916-06-30,2.4
"108",1916-07-02,2.35
"109",1916-07-03,2.35
"110",1916-07-05,2.35
"111",1916-07-07,2.35
"112",1916-07-08,2.3
"113",1916-07-10,2.3
"114",1916-07-12,2.3
"115",1916-07-13,2.25
"116",1916-07-15,2.25
"117",1916-07-17,2.2
"118",1916-07-19,2.2
"119",1916-07-20,2.2
"120",1916-07-22,2.2
"121",1916-07-24,2.2
"122",1916-07-25,2.15
"123",1916-07-27,2.15
"124",1916-07-29,2.05
"125",1916-07-31,2.05
"126",1916-08-01,2.05
"127",1916-08-03,2
"128",1916-08-05,2
"129",1916-08-06,2.2
"130",1916-08-08,2.2
"131",1916-08-10,2.25
"132",1916-08-12,2.35
"133",1916-08-13,2.35
"134",1916-08-15,2.35
"135",1916-08-17,2.35
"136",1916-08-18,2.35
"137",1916-08-20,2.3
"138",1916-08-22,2.3
"139",1916-08-24,2.25
"140",1916-08-25,2.25
"141",1916-08-27,2.2
"142",1916-08-29,2.2
"143",1916-08-30,2.2
"144",1916-09-01,2.2
"145",1916-09-03,2.1
"146",1916-09-04,2.1
"147",1916-09-06,2.1
"148",1916-09-08,2.1
"149",1916-09-10,2.2
"150",1916-09-11,2.4
"151",1916-09-13,2.45
"152",1916-09-15,2.45
"153",1916-09-16,2.5
"154",1916-09-18,2.6
"155",1916-09-20,2.6
"156",1916-09-22,2.6
"157",1916-09-23,2.6
"158",1916-09-25,2.55
"159",1916-09-27,2.55
"160",1916-09-28,2.55
"161",1916-09-30,2.45
"162",1916-10-02,2.45
"163",1916-10-04,2.45
"164",1916-10-05,2.4
"165",1916-10-07,2.4
"166",1916-10-09,2.4
"167",1916-10-10,2.4
"168",1916-10-12,2.4
"169",1916-10-14,2.35
"170",1916-10-16,2.35
"171",1916-10-17,2.3
"172",1916-10-19,2.3
"173",1916-10-21,2.25
"174",1916-10-22,2.25
"175",1916-10-24,2.25
"176",1916-10-26,2.25
"177",1916-10-28,2.2
"178",1916-10-29,2.3
"179",1916-10-31,2.3
"180",1916-11-02,2.3
"181",1916-11-03,2.2
"182",1916-11-05,2.2
"183",1916-11-07,2.2
"184",1916-11-08,2.2
"185",1916-11-10,2.2
"186",1916-11-12,2.15
"187",1916-11-14,2.1
"188",1916-11-15,2.1
"189",1916-11-17,2.1
"190",1916-11-19,2
"191",1916-11-20,2
"192",1916-11-22,2
"193",1916-11-24,NA
"194",1916-11-26,NA
"195",1916-11-27,NA
"196",1916-11-29,NA
"197",1916-12-01,NA
"198",1916-12-02,NA
"199",1916-12-04,NA
"200",1916-12-06,NA
"201",1916-12-08,NA
"202",1916-12-09,NA
"203",1916-12-11,NA
"204",1916-12-13,NA
"205",1916-12-14,NA
"206",1916-12-16,NA
"207",1916-12-18,NA
"208",1916-12-20,NA
"209",1916-12-21,NA
"210",1916-12-23,NA
"211",1916-12-25,NA
"212",1916-12-26,NA
"213",1916-12-28,NA
"214",1916-12-30,NA
"215",1917-01-01,1.7
"216",1917-01-02,1.75
"217",1917-01-04,1.75
"218",1917-01-06,1.75
"219",1917-01-07,1.7
"220",1917-01-09,1.7
"221",1917-01-11,1.7
"222",1917-01-12,1.7
"223",1917-01-14,1.7
"224",1917-01-16,1.7
"225",1917-01-18,1.7
"226",1917-01-19,1.7
"227",1917-01-21,1.7
"228",1917-01-23,1.7
"229",1917-01-24,1.7
"230",1917-01-26,1.7
"231",1917-01-28,1.7
"232",1917-01-29,1.7
"233",1917-01-31,1.7
"234",1917-02-02,1.7
"235",1917-02-04,1.7
"236",1917-02-05,1.7
"237",1917-02-07,1.7
"238",1917-02-09,1.7
"239",1917-02-10,1.7
"240",1917-02-12,1.7
"241",1917-02-14,1.7
"242",1917-02-16,1.7
"243",1917-02-17,1.7
"244",1917-02-19,1.7
"245",1917-02-21,1.7
"246",1917-02-22,1.7
"247",1917-02-24,1.7
"248",1917-02-26,1.74
"249",1917-02-27,1.79
"250",1917-03-01,1.83
"251",1917-03-03,1.88
"252",1917-03-05,1.92
"253",1917-03-06,1.97
"254",1917-03-08,2.01
"255",1917-03-10,2.05
"256",1917-03-11,2.1
"257",1917-03-13,2.1
"258",1917-03-15,2.2
"259",1917-03-17,2.2
"260",1917-03-18,2.15
"261",1917-03-20,2.15
"262",1917-03-22,2.2
"263",1917-03-23,2.2
"264",1917-03-25,2.2
"265",1917-03-27,2.2
"266",1917-03-28,2.2
"267",1917-03-30,2.2
"268",1917-04-01,2.32
"269",1917-04-03,2.45
"270",1917-04-04,2.5
"271",1917-04-06,2.65
"272",1917-04-08,2.68
"273",1917-04-09,2.8
"274",1917-04-11,2.9
"275",1917-04-13,2.95
"276",1917-04-15,3
"277",1917-04-16,3.07
"278",1917-04-18,3.1
"279",1917-04-20,3.2
"280",1917-04-21,3.2
"281",1917-04-23,3.2
"282",1917-04-25,3.25
"283",1917-04-26,3.25
"284",1917-04-28,3.3
"285",1917-04-30,3.3
"286",1917-05-02,3.34
"287",1917-05-03,3.38
"288",1917-05-05,3.38
"289",1917-05-07,3.4
"290",1917-05-08,3.4
"291",1917-05-10,3.4
"292",1917-05-12,3.4
"293",1917-05-14,3.38
"294",1917-05-15,3.35
"295",1917-05-17,3.33
"296",1917-05-19,3.3
"297",1917-05-20,3.35
"298",1917-05-22,3.35
