"time","rn"
"1",2008-11-09,0.01
"2",2008-11-10,0
"3",2008-11-11,0.01
"4",2008-11-12,0
"5",2008-11-13,0.04
"6",2008-11-14,0.14
"7",2008-11-15,0.02
"8",2008-11-16,0
"9",2008-11-17,0.03
"10",2008-11-18,0.11
"11",2008-11-19,0
"12",2008-11-20,0
"13",2008-11-21,0.01
"14",2008-11-22,0.01
"15",2008-11-23,0.02
"16",2008-11-24,0
"17",2008-11-25,0
"18",2008-11-26,0.01
"19",2008-11-27,0.03
"20",2008-11-28,0
"21",2008-11-29,0
"22",2008-11-30,0.04
"23",2008-12-01,0
"24",2008-12-02,0.03
"25",2008-12-03,0.12
"26",2008-12-04,0.22
"27",2008-12-30,0.22
"28",2008-12-31,0.5
"29",2009-01-01,0.28
"30",2009-01-02,0.13
"31",2009-01-03,0.12
"32",2009-01-04,0.11
"33",2009-01-05,0.01
"34",2009-01-06,0
"35",2009-01-07,0
"36",2009-01-08,0
"37",2009-01-09,0.02
"38",2009-01-10,0.06
"39",2009-01-11,0
"40",2009-01-12,0.03
"41",2009-01-13,0.08
"42",2009-01-14,0.19
"43",2009-01-15,0.1
"44",2009-01-16,0.09
"45",2009-01-17,0.23
"46",2009-01-18,0.3
"47",2009-01-19,0.29
"48",2009-01-20,0.12
"49",2009-01-21,0.06
"50",2009-01-22,0.58
"51",2009-01-23,0.07
"52",2009-01-24,0
"53",2009-01-25,0.17
"54",2009-01-26,0.16
"55",2009-01-27,0.02
"56",2009-01-28,0.1
"57",2009-01-29,0.16
"58",2009-01-30,0.36
"59",2009-01-31,0.01
"60",2009-02-01,0.05
"61",2009-02-02,0.18
"62",2009-02-03,0.01
"63",2009-02-04,0
"64",2009-02-05,0
"65",2009-02-06,0.04
"66",2009-02-07,0.05
"67",2009-02-08,0.01
"68",2009-02-09,0.01
"69",2009-02-10,0
"70",2009-02-11,0
"71",2009-02-12,0.12
"72",2009-02-13,0.21
"73",2009-02-14,0.09
"74",2009-02-15,0.03
"75",2009-02-16,0.04
"76",2009-02-17,0.04
"77",2009-02-18,0.05
"78",2009-02-19,0.12
"79",2009-02-20,0.02
"80",2009-02-21,0.01
"81",2009-02-22,0.04
"82",2009-02-23,0.5
"83",2009-02-24,0.03
"84",2009-02-25,0.11
"85",2009-02-26,0.1
"86",2009-02-27,0.01
"87",2009-02-28,0.03
"88",2009-03-01,0.06
"89",2009-03-02,0.02
"90",2009-03-03,0.1
"91",2009-03-04,0.46
"92",2009-03-05,0.27
